name,date,score,level_reached,tasks_completed
Artūrs,2026-05-12 22:59:07,350,1,1
Anna,2026-05-12 22:59:07,275,1,1
Pēteris,2026-05-12 22:59:07,450,1,1
TestSpēlētājs,2026-05-13 19:33:46,0,1,0
TestSpēlētājs,2026-05-13 19:34:18,0,1,0
TestSpēlētājs,2026-05-13 19:35:37,0,2,0
TestSpēlētājs,2026-05-13 19:36:45,200,1,2
TestSpēlētājs,2026-05-13 19:47:33,325,1,3
TestSpēlētājs,2026-05-13 19:49:42,0,1,0
TestSpēlētājs,2026-05-13 19:50:40,0,1,0
TestSpēlētājs,2026-05-13 19:56:31,0,1,0
TestSpēlētājs,2026-05-13 19:57:16,0,1,0
TestSpēlētājs,2026-05-13 19:58:41,0,1,0
TestSpēlētājs,2026-05-13 20:00:03,0,1,0
TestSpēlētājs,2026-05-13 20:00:36,125,1,1
TestSpēlētājs,2026-05-13 20:02:08,0,1,0
TestSpēlētājs,2026-05-13 20:02:18,0,1,0
TestSpēlētājs,2026-05-15 23:23:27,0,1,0
